country;continent;year;lifeExp;pop;gdpPercap
Afghanistan;Asia;1952;28,80100;8425333;779,4453145
Afghanistan;Asia;1957;30,33200;9240934;820,8530296
Afghanistan;Asia;1962;31,99700;10267083;853,1007100
Afghanistan;Asia;1967;34,02000;11537966;836,1971382
Afghanistan;Asia;1972;36,08800;13079460;739,9811058
Afghanistan;Asia;1977;38,43800;14880372;786,1133600
Afghanistan;Asia;1982;39,85400;12881816;978,0114388
Afghanistan;Asia;1987;40,82200;13867957;852,3959448
Afghanistan;Asia;1992;41,67400;16317921;649,3413952
Afghanistan;Asia;1997;41,76300;22227415;635,3413510
Afghanistan;Asia;2002;42,12900;25268405;726,7340548
Afghanistan;Asia;2007;43,82800;31889923;974,5803384
Albania;Europe;1952;55,23000;1282697;1601,0561360
Albania;Europe;1957;59,28000;1476505;1942,2842440
Albania;Europe;1962;64,82000;1728137;2312,8889580
Albania;Europe;1967;66,22000;1984060;2760,1969310
Albania;Europe;1972;67,69000;2263554;3313,4221880
Albania;Europe;1977;68,93000;2509048;3533,0039100
Albania;Europe;1982;70,42000;2780097;3630,8807220
Albania;Europe;1987;72,00000;3075321;3738,9327350
Albania;Europe;1992;71,58100;3326498;2497,4379010
Albania;Europe;1997;72,95000;3428038;3193,0546040
Albania;Europe;2002;75,65100;3508512;4604,2117370
Albania;Europe;2007;76,42300;3600523;5937,0295260
Algeria;Africa;1952;43,07700;9279525;2449,0081850
Algeria;Africa;1957;45,68500;10270856;3013,9760230
Algeria;Africa;1962;48,30300;11000948;2550,8168800
Algeria;Africa;1967;51,40700;12760499;3246,9917710
Algeria;Africa;1972;54,51800;14760787;4182,6637660
Algeria;Africa;1977;58,01400;17152804;4910,4167560
Algeria;Africa;1982;61,36800;20033753;5745,1602130
Algeria;Africa;1987;65,79900;23254956;5681,3585390
Algeria;Africa;1992;67,74400;26298373;5023,2166470
Algeria;Africa;1997;69,15200;29072015;4797,2950510
Algeria;Africa;2002;70,99400;31287142;5288,0403820
Algeria;Africa;2007;72,30100;33333216;6223,3674650
Angola;Africa;1952;30,01500;4232095;3520,6102730
Angola;Africa;1957;31,99900;4561361;3827,9404650
Angola;Africa;1962;34,00000;4826015;4269,2767420
Angola;Africa;1967;35,98500;5247469;5522,7763750
Angola;Africa;1972;37,92800;5894858;5473,2880050
Angola;Africa;1977;39,48300;6162675;3008,6473550
Angola;Africa;1982;39,94200;7016384;2756,9536720
Angola;Africa;1987;39,90600;7874230;2430,2083110
Angola;Africa;1992;40,64700;8735988;2627,8456850
Angola;Africa;1997;40,96300;9875024;2277,1408840
Angola;Africa;2002;41,00300;10866106;2773,2873120
Angola;Africa;2007;42,73100;12420476;4797,2312670
Argentina;Americas;1952;62,48500;17876956;5911,3150530
Argentina;Americas;1957;64,39900;19610538;6856,8562120
Argentina;Americas;1962;65,14200;21283783;7133,1660230
Argentina;Americas;1967;65,63400;22934225;8052,9530210
Argentina;Americas;1972;67,06500;24779799;9443,0385260
Argentina;Americas;1977;68,48100;26983828;10079,0267400
Argentina;Americas;1982;69,94200;29341374;8997,8974120
Argentina;Americas;1987;70,77400;31620918;9139,6713890
Argentina;Americas;1992;71,86800;33958947;9308,4187100
Argentina;Americas;1997;73,27500;36203463;10967,2819500
Argentina;Americas;2002;74,34000;38331121;8797,6407160
Argentina;Americas;2007;75,32000;40301927;12779,3796400
Armenia;FSU;1992;68,66300;3378331;1442,9377960
Armenia;FSU;1997;70,37700;3059000;1791,3471900
Armenia;FSU;2002;71,40300;3013818;2692,3040390
Armenia;FSU;2007;71,96500;2971650;4942,5439110
Aruba;Americas;1972;70,94100;59461;4939,7580070
Aruba;Americas;1977;71,83000;59412;7390,3599420
Aruba;Americas;1982;74,11600;61569;10874,9149500
Aruba;Americas;1987;74,49400;65415;17674,3389000
Aruba;Americas;1992;74,10800;67174;25120,5496100
Aruba;Americas;1997;73,01100;68341;26483,6686200
Aruba;Americas;2002;73,45100;70441;26467,8706200
Aruba;Americas;2007;74,23900;72194;27230,6752100
Australia;Oceania;1950;69,02000;8267337;10031,1213800
Australia;Oceania;1951;68,72000;8510600;10160,7367200
Australia;Oceania;1952;69,12000;8691212;10039,5956400
Australia;Oceania;1953;69,70000;8857924;10157,9129800
Australia;Oceania;1954;69,85000;9064017;10544,0873800
Australia;Oceania;1955;70,17000;9277087;10864,6177400
Australia;Oceania;1956;70,05000;9500606;10974,1283700
Australia;Oceania;1957;70,33000;9712569;10949,6495900
Australia;Oceania;1958;70,88000;9915267;11240,9588600
Australia;Oceania;1959;70,45000;10131729;11678,0706900
Australia;Oceania;1960;70,89000;10361273;11897,9637200
Australia;Oceania;1961;71,16000;10598814;11711,5000200
Australia;Oceania;1962;70,93000;10794968;12217,2268600
Australia;Oceania;1963;70,99000;11001483;12722,2170200
Australia;Oceania;1964;70,65000;11218304;13329,8972600
Australia;Oceania;1965;70,98000;11439384;13739,9268800
Australia;Oceania;1966;70,82000;11655083;13860,9580600
Australia;Oceania;1967;71,10000;11872264;14526,1246500
Australia;Oceania;1968;70,73000;12101660;15088,5583600
Australia;Oceania;1969;71,14000;12379384;15647,1093800
Australia;Oceania;1970;70,81000;12660160;16273,1421400
Australia;Oceania;1971;71,41000;12937200;16633,1259000
Australia;Oceania;1972;71,93000;13177000;16788,6294800
Australia;Oceania;1973;72,14000;13380400;17429,7180500
Australia;Oceania;1974;71,89000;13599100;17574,5816700
Australia;Oceania;1975;72,84000;13771400;17824,5703800
Australia;Oceania;1976;72,88000;13915500;18351,0679300
Australia;Oceania;1977;73,49000;14074100;18334,1975100
Australia;Oceania;1978;73,88000;14248600;18635,0381000
Australia;Oceania;1979;74,44000;14421900;19380,6356200
Australia;Oceania;1980;74,60000;14615900;19505,5545200
Australia;Oceania;1981;74,97000;14923260;19841,8794600
Australia;Oceania;1982;74,74000;15184200;19477,0092800
Australia;Oceania;1983;75,55000;15393500;19214,5611500
Australia;Oceania;1984;76,02000;15579400;20295,2529400
Australia;Oceania;1985;75,46000;15788300;21040,4946000
Australia;Oceania;1986;76,13000;16018350;21168,8105100
Australia;Oceania;1987;76,32000;16257249;21888,8890300
Australia;Oceania;1988;76,36000;16520206;22508,1907800
Australia;Oceania;1989;76,46000;16780235;23133,9763500
Australia;Oceania;1990;77,06000;17022133;23151,8903400
Australia;Oceania;1991;77,55000;17257526;22893,8567500
Australia;Oceania;1992;77,56000;17481977;23424,7668300
